Customer,Address,Phone,Personnummer,BankAccount
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902VPUI15502095985231
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902JFLG01724285840236
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902IDDI95912852862700
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902YCCU23582343543594
Anna Jonasson,"Nytorget 1, 48773 Piteå",08-10 30 17,710111-6791,SE8902HADZ94831371615319
Ebba Åkesson,"Kvarntorget 48, 37424 Ängelholm",083-00 14 12,630729-3644,SE8902JVFU12272732120946
Kristina Olsson,"Parkgatan 1, 28574 Sundsvall",0989-27 66 73,760406-5404,SE8902LYRU49405628277247
Sarah Andersson,"Nystigen 0, 12397 Östersund",08-130 729 78,420430-8151,SE8902TTXT03943566438167
Sarah Andersson,"Nystigen 0, 12397 Östersund",08-130 729 78,420430-8151,SE8902BTKI53390685216432
Julia Jonasson,"Trädgårdsvägen 277, 45472 Linköping",08-40 93 07,530921-2867,SE8902XBIN60287954526260
Åsa Källström-Edström,"Ringvägen 474, 22370 Malmö",08-22 06 88,670219-4314,SE8902XYVB77684435420465
Iris Bäck,"Parkstigen 37, 51276 Trollhättan",0049-114 10,470722-7825,SE8902WOTL92806947118912
Linnea Gustavsson,"Grangränd 7, 41214 Lidköping",08-710 82 20,480729-3370,SE8902KMMG56349206484127
Charlotte Werner-Olsson,"Kyrkotorget 918, 39385 Örebro",019-19 74 00,400315-1315,SE8902DPEV86073624782716
Berit Lund,"Kyrkotorget 63, 82634 Stockholm",0212-88 58 94,360719-1347,SE8902XPHP30865499209335
Berit Lund,"Kyrkotorget 63, 82634 Stockholm",0212-88 58 94,360719-1347,SE8902XTMW65537920620819
Lisbeth Jonsson-Österberg,"Storvägen 0, 55698 Östersund",0735-81 19 67,580424-2880,SE8902MEPG75869905095161
Lisbeth Jonsson-Österberg,"Storvägen 0, 55698 Östersund",0735-81 19 67,580424-2880,SE8902VWKO20169767635100
Elisabeth Vesterlund,"Storvägen 2, 84458 Lund",0102-716 60,840419-0962,SE8902SVEX40095531093926
Ester Karlsson,"Björkvägen 30, 91899 Västerås",08-241 414 77,550907-9165,SE8902EKEC92166161424949
Ester Karlsson,"Björkvägen 30, 91899 Västerås",08-241 414 77,550907-9165,SE8902KMID87590796935719
Karin Dahl,"Industrivägen 3, 30549 Skellefteå",0380-29 70 20,530830-8732,SE8902LSEC82086405777991
Elisabet Berg,"Furuvägen 380, 83778 Linköping",08-36 39 16,560806-9745,SE8902ALFN61867186946491
Elisabet Berg,"Furuvägen 380, 83778 Linköping",08-36 39 16,560806-9745,SE8902AAEJ67825986403885
Elisabet Berg,"Furuvägen 380, 83778 Linköping",08-36 39 16,560806-9745,SE8902AZXE66883467511248
Therese Lindahl-Martinsson,"Parktorget 37, 50950 Sundsvall",08-013 664 29,751230-8458,SE8902PQTC99238321979954
Therese Lindahl-Martinsson,"Parktorget 37, 50950 Sundsvall",08-013 664 29,751230-8458,SE8902LEVI44801863486814
Emma Gustafsson,"Fabriksgränd 32, 58024 Uddevalla",0283-95 25 09,010215-5330,SE8902YKLA01358484410445
Emma Gustafsson,"Fabriksgränd 32, 58024 Uddevalla",0283-95 25 09,010215-5330,SE8902EMIT82352727650511
Emma Gustafsson,"Fabriksgränd 32, 58024 Uddevalla",0283-95 25 09,010215-5330,SE8902OBNT50973876422839
Jenny Karlsson Borg,"Skogsgränd 17, 74456 Stockholm",0270-142 99,360222-0778,SE8902SEYF48760878274175
Marie Kvist Stark,"Villavägen 972, 20515 Uppsala",0334-04 73 69,410919-5562,SE8902OVTP75889092553957
Marie Kvist Stark,"Villavägen 972, 20515 Uppsala",0334-04 73 69,410919-5562,SE8902FKHJ95461624405436
Valborg Sundin,"Skolgränd 20, 33385 Växjö",074-034 96 70,930823-9459,SE8902KCYM07724798345050
Valborg Sundin,"Skolgränd 20, 33385 Växjö",074-034 96 70,930823-9459,SE8902URSV28669190464010
Valborg Sundin,"Skolgränd 20, 33385 Växjö",074-034 96 70,930823-9459,SE8902AJRJ35802643947946
Sandra Sjöström,"Nyvägen 77, 14918 Lidingö",057-75 81 16,020829-7697,SE8902KJYB05100798381483
Sandra Sjöström,"Nyvägen 77, 14918 Lidingö",057-75 81 16,020829-7697,SE8902WYLP16417283310059
Sandra Sjöström,"Nyvägen 77, 14918 Lidingö",057-75 81 16,020829-7697,SE8902STXO91790409285299
Margareta Björk,"Parktorget 227, 22450 Lidingö",0542-128 09,390106-8696,SE8902CNUK05592418774943
Margareta Björk,"Parktorget 227, 22450 Lidingö",0542-128 09,390106-8696,SE8902ZRRV53604198996393
Margareta Björk,"Parktorget 227, 22450 Lidingö",0542-128 09,390106-8696,SE8902SIKL89762687070372
Ingela Moberg,"Industritorget 96, 24007 Eskilstuna",08-463 82 96,661229-4360,SE8902IQDI59898249098467
Ingela Moberg,"Industritorget 96, 24007 Eskilstuna",08-463 82 96,661229-4360,SE8902HNLH30212836252481
Karin Blomqvist,"Björktorget 4, 48236 Örebro",08-962 638 67,450426-9301,SE8902RIDV47368265699473
Inez Andersson Henriksson,"Skolgatan 5, 66406 Västerås",08-16 82 50,881125-6802,SE8902LARY75915594710859
Inez Andersson Henriksson,"Skolgatan 5, 66406 Västerås",08-16 82 50,881125-6802,SE8902RYFQ25380828380867
Elisabeth Karlsson,"Trädgårdsstigen 97, 73873 Skellefteå",08-746 233 07,500730-9544,SE8902WOBG56284432759181
Wilma Krantz,"Storvägen 96, 10979 Kalmar",0833-042 08,410213-4998,SE8902GZKC59110904284187
Elisabet Karlsson,"Strandvägen 72, 73878 Växjö",026-017 17 49,460604-4008,SE8902HCFQ50732586147290
Yvonne Ferm,"Björkstigen 191, 89515 Karlskrona",08-52 81 94,921225-3513,SE8902IWUZ21139031383602
Yvonne Ferm,"Björkstigen 191, 89515 Karlskrona",08-52 81 94,921225-3513,SE8902DBZP90399205881070
Wilma Andersson,"Aspstigen 08, 16072 Karlskoga",0741-44 75 71,690715-3776,SE8902TKZA24932488770695
Wilma Andersson,"Aspstigen 08, 16072 Karlskoga",0741-44 75 71,690715-3776,SE8902IGWD35040860470840
Sonja Törnqvist,"Storstigen 43, 78682 Luleå",021-199 60 22,700316-2802,SE8902OEUK98732816702347
Alice Carlsson,"Ringgatan 502, 91970 Trelleborg",005-124 78 23,741111-0344,SE8902ONYK29813236113604
Lilly Martinsson Andersson,"Parktorget 11, 64739 Alingsås",08-719 022 93,720527-0692,SE8902GYZA91851265600454
My Ahmed,"Skolgatan 104, 29742 Örebro",0994-268 72,861208-3793,SE8902FPRI18674591891178
My Ahmed,"Skolgatan 104, 29742 Örebro",0994-268 72,861208-3793,SE8902UXKG57479907330381
Mona Ek,"Åkervägen 861, 22665 Västerås",057-25 36 51,821203-1432,SE8902FWHV93976568931219
Caroline Jonsson,"Kyrktorget 2, 24326 Ängelholm",061-87 15 69,420716-3587,SE8902RMLX84077931088026
Ulrika Holmström,"Gengatan 7, 85775 Södertälje",0969-879 30,651218-8118,SE8902EDDF98370611345966
Ulrika Holmström,"Gengatan 7, 85775 Södertälje",0969-879 30,651218-8118,SE8902XMAM56827677889061
Ebba Malmberg-Pettersson,"Trädgårdstorget 4, 61895 Växjö",08-387 602 30,670319-8652,SE8902ZJJF79585810673366
Maya Johansson,"Ringtorget 0, 80200 Norrköping",016-85 00 38,821214-2049,SE8902IWYC64669423845053
Maya Johansson,"Ringtorget 0, 80200 Norrköping",016-85 00 38,821214-2049,SE8902WNIP57815146708414
Maya Johansson,"Ringtorget 0, 80200 Norrköping",016-85 00 38,821214-2049,SE8902EZER13441070597944
Evy Lövgren,"Ringvägen 1, 15172 Trelleborg",08-675 070 28,611015-7465,SE8902PXCX96170096954134
Evy Lövgren,"Ringvägen 1, 15172 Trelleborg",08-675 070 28,611015-7465,SE8902LIKB41550652178852
Freja Hellström,"Ringvägen 521, 84969 Helsingborg",081-641 49 70,570924-4312,SE8902GDTV65148682209789
Mona Åkesson,"Skogsvägen 34, 51889 Östersund",08-99 81 67,030411-1388,SE8902JFUD24261264737631
Mona Åkesson,"Skogsvägen 34, 51889 Östersund",08-99 81 67,030411-1388,SE8902TRFM79815586179217
Mona Åkesson,"Skogsvägen 34, 51889 Östersund",08-99 81 67,030411-1388,SE8902EFNV74784664776562
Astrid Andersson Westberg,"Trädgårdsgatan 86, 80229 Trollhättan",034-071 52 74,920529-8475,SE8902RCRK00671714230376
Astrid Andersson Westberg,"Trädgårdsgatan 86, 80229 Trollhättan",034-071 52 74,920529-8475,SE8902LQPT91446488103734
Marie Olsen,"Kyrkgatan 1, 83212 Kristianstad",08-207 267 14,451129-2460,SE8902ZMIE92280783818806
Christina Dahl,"Parkstigen 00, 80634 Alingsås",08-385 24 29,731115-2727,SE8902PJBO20718804604298
Rut Flink,"Skolgränd 207, 64108 Uppsala",0238-95 44 93,900710-1026,SE8902RUFS60316465651336
Rut Flink,"Skolgränd 207, 64108 Uppsala",0238-95 44 93,900710-1026,SE8902BXQI23685027971551
Anna Larsson,"Ekgatan 543, 93609 Södertälje",0546-12 64 67,500117-5636,SE8902GSZH91391621188990
Helen Arvidsson,"Ekvägen 761, 82913 Ängelholm",0258-262 17,740616-6020,SE8902XEKA11659742485329
Beata Backlund,"Idrottsvägen 7, 36212 Skövde",054-73 47 68,931004-0325,SE8902MQJP11380705638246
Thea Lindquist,"Industrivägen 93, 64836 Kalmar",08-692 35 66,940210-9509,SE8902KFFK50136015318581
Thea Lindquist,"Industrivägen 93, 64836 Kalmar",08-692 35 66,940210-9509,SE8902NWBH42139231276122
Thea Lindquist,"Industrivägen 93, 64836 Kalmar",08-692 35 66,940210-9509,SE8902HHVE14882891293350
Katarina Hermansson,"Villavägen 04, 93131 Umeå",093-105 84 91,010207-2535,SE8902RLTH03632662634887
Katarina Hermansson,"Villavägen 04, 93131 Umeå",093-105 84 91,010207-2535,SE8902MYOF67830605702784
Rosa Rosengren Vikström,"Nytorget 9, 10127 Karlskrona",0201-352 83,671206-3400,SE8902BADO65968898453667
Marie Hosseini,"Stortorget 060, 79596 Jönköping",08-10 04 08,040413-9156,SE8902BIRC46206283725522
Mona Nordqvist-Jonsson,"Skogsvägen 0, 11888 Nyköping",08-375 387 43,730524-7251,SE8902YBUM91649266178467
Mona Nordqvist-Jonsson,"Skogsvägen 0, 11888 Nyköping",08-375 387 43,730524-7251,SE8902XPKO29440306068239
Mona Nordqvist-Jonsson,"Skogsvägen 0, 11888 Nyköping",08-375 387 43,730524-7251,SE8902SAUK38756106548184
Greta Arvidsson,"Kvarngatan 8, 45171 Trelleborg",08-853 66 23,530610-3549,SE8902PRHA61506657906077
Maria Nyström,"Skolgatan 6, 30071 Borås",002-864 34 55,940612-8737,SE8902FWBT85916441228504
Maria Nyström,"Skolgatan 6, 30071 Borås",002-864 34 55,940612-8737,SE8902LUYC21483942556730
Margareta Johansson,"Skolgatan 047, 97104 Östersund",0334-31 32 84,950709-3822,SE8902CKQN72795971469366
Margareta Johansson,"Skolgatan 047, 97104 Östersund",0334-31 32 84,950709-3822,SE8902TVFH53282057943154
Margareta Johansson,"Skolgatan 047, 97104 Östersund",0334-31 32 84,950709-3822,SE8902UTXQ46186994218835
Margareta Johansson,"Skolgatan 047, 97104 Östersund",0334-31 32 84,950709-3822,SE8902BCGB09402639721004
Greta Persson-Jönsson,"Åkergatan 7, 96228 Kristianstad",0227-380 10,820604-3583,SE8902QCUD22504040792723
Erika Oskarsson,"Skolvägen 01, 56393 Västerås",022-184 01 71,370902-0154,SE8902XFEK65570601507823
Kristina Hägglund,"Strandgatan 02, 52242 Lidköping",0899-18 49 15,441022-8888,SE8902CHPG90425118808478
Kristina Hägglund,"Strandgatan 02, 52242 Lidköping",0899-18 49 15,441022-8888,SE8902HXLB10149156679316
Kristina Hägglund,"Strandgatan 02, 52242 Lidköping",0899-18 49 15,441022-8888,SE8902PCFY59781759139715
Anna Ström,"Storvägen 477, 27289 Luleå",039-43 17 08,541030-7333,SE8902DJPX89629848207656
Maryam Forsberg,"Bäckgatan 8, 56136 Halmstad",08-96 76 13,841210-2538,SE8902QYUK75923058440099
Maryam Forsberg,"Bäckgatan 8, 56136 Halmstad",08-96 76 13,841210-2538,SE8902GXKS66714923613080
Agneta Lundin,"Järnvägsgatan 043, 31561 Stockholm",08-518 19 51,410404-6919,SE8902KASG36290465086408
Agneta Lundin,"Järnvägsgatan 043, 31561 Stockholm",08-518 19 51,410404-6919,SE8902FMGF16921362391617
Agneta Lundin,"Järnvägsgatan 043, 31561 Stockholm",08-518 19 51,410404-6919,SE8902SUPU22107368286746
Agneta Lundin,"Järnvägsgatan 043, 31561 Stockholm",08-518 19 51,410404-6919,SE8902CUMA73016131740531
Beatrice Wall Sjöberg,"Järnvägstorget 3, 60378 Falun",073-93 83 38,480221-2193,SE8902YULJ56180665771621
Beatrice Wall Sjöberg,"Järnvägstorget 3, 60378 Falun",073-93 83 38,480221-2193,SE8902YIXR29588609244770
Nicole Berggren,"Ängsgatan 9, 93491 Lidköping",092-358 77 72,500226-1625,SE8902SBKV17928186427622
Nicole Berggren,"Ängsgatan 9, 93491 Lidköping",092-358 77 72,500226-1625,SE8902YREH60256445948405
Nicole Berggren,"Ängsgatan 9, 93491 Lidköping",092-358 77 72,500226-1625,SE8902GZAO49226888899471
Nicole Berggren,"Ängsgatan 9, 93491 Lidköping",092-358 77 72,500226-1625,SE8902CDUU61660929189479
Marit Frisk,"Villavägen 035, 26090 Motala",088-347 15 56,800402-6905,SE8902QDDZ01493266009705
Maria Pettersson,"Villavägen 27, 57891 Örebro",08-73 08 22,770715-4147,SE8902MSKS70942503348697
Maria Pettersson,"Villavägen 27, 57891 Örebro",08-73 08 22,770715-4147,SE8902KOWL19108099243979
Inger Söderlund,"Trädgårdsvägen 8, 55663 Lund",08-577 58 56,440603-3151,SE8902UHPN71937885399066
Barbro Svensson-Hosseini,"Fabriksstigen 73, 62566 Malmö",08-092 433 08,831029-2936,SE8902KIPZ83378012088513
Barbro Svensson-Hosseini,"Fabriksstigen 73, 62566 Malmö",08-092 433 08,831029-2936,SE8902YZWC23724318974586
Barbro Svensson-Hosseini,"Fabriksstigen 73, 62566 Malmö",08-092 433 08,831029-2936,SE8902AMRJ75051497335013
Mila Larsson,"Storvägen 744, 55763 Jönköping",0340-96 99 26,070119-5604,SE8902PFUA65955298845159
Mila Larsson,"Storvägen 744, 55763 Jönköping",0340-96 99 26,070119-5604,SE8902DNVY67349092911659
Marie Karlsson,"Nyvägen 366, 29309 Eskilstuna",0670-958 06,030330-5338,SE8902NBJB19095650975525
Louise Rask,"Skolstigen 09, 96709 Varberg",08-27 66 67,460319-8310,SE8902IACG54044232519044
Louise Rask,"Skolstigen 09, 96709 Varberg",08-27 66 67,460319-8310,SE8902NKXR00859309312215
Karin Lindholm,"Ekvägen 7, 23011 Umeå",0001-31 09 83,661105-0391,SE8902PFCZ88971783919966
Karin Lindholm,"Ekvägen 7, 23011 Umeå",0001-31 09 83,661105-0391,SE8902IQAS41209315371860
Marie Ågren,"Industritorget 18, 23510 Eskilstuna",08-81 62 31,810417-8192,SE8902HEMI79004079416247
Filippa Andersson,"Furugatan 6, 92612 Stockholm",08-979 037 34,910425-0569,SE8902AOEI11888157159723
Christina Isaksson,"Åkerstigen 05, 52786 Uddevalla",08-082 204 44,501222-6584,SE8902XAJW53043482546967
Lena Eriksson,"Grangränd 9, 52169 Umeå",08-05 02 19,430822-7596,SE8902VFTG99252061459530
Lena Eriksson,"Grangränd 9, 52169 Umeå",08-05 02 19,430822-7596,SE8902XPRV76493567899496
Anneli Eriksson,"Strandgatan 9, 79201 Landskrona",099-561 86 75,880412-3118,SE8902VJMZ66585930292336
Birgitta Dahl,"Björkgränd 726, 18584 Kristianstad",08-081 730 13,470720-1630,SE8902ABDS01701364961907
Patricia Olsson,"Nygatan 1, 52368 Lund",0083-38 37 77,990131-4873,SE8902IRXN70281866292484
Patricia Olsson,"Nygatan 1, 52368 Lund",0083-38 37 77,990131-4873,SE8902ZCTK81497780781136
Patricia Olsson,"Nygatan 1, 52368 Lund",0083-38 37 77,990131-4873,SE8902TKRB93799625518098
Isabel Svensson,"Ängsgränd 5, 14171 Borlänge",073-40 17 53,520519-5133,SE8902XFYN40331665173936
Isabel Svensson,"Ängsgränd 5, 14171 Borlänge",073-40 17 53,520519-5133,SE8902VXBW13958908779060
Sofia Christensen,"Nyvägen 992, 89452 Örebro",0824-650 24,421220-9953,SE8902XBWW91028579125870
Sofia Christensen,"Nyvägen 992, 89452 Örebro",0824-650 24,421220-9953,SE8902ZFFS54641169742438
Matilda Gustafsson-Sjöberg,"Ekgränd 1, 89805 Falun",0100-703 85,680612-3284,SE8902AEAH33465529509698
Ingegerd Skoglund,"Strandvägen 04, 49503 Falun",08-825 44 86,771019-7539,SE8902WIZV49599148565208
Ingegerd Skoglund,"Strandvägen 04, 49503 Falun",08-825 44 86,771019-7539,SE8902OKGM15362718359701
Ingegerd Skoglund,"Strandvägen 04, 49503 Falun",08-825 44 86,771019-7539,SE8902IQGU69949540367787
Eva Öberg,"Kyrkvägen 6, 36868 Borlänge",077-323 72 29,870606-4063,SE8902LNQG72751750679403
Abdi Davidsson,"Bäckgränd 300, 63255 Örebro",0531-93 49 92,860506-6011,SE8902JYVV72673862515999
Elisabet Ljungberg,"Fabriksvägen 27, 86426 Varberg",08-458 541 34,470112-5371,SE8902CARL50738619229703
Anette Petersson,"Kyrkovägen 72, 51671 Örnsköldsvik",0705-261 43,780619-1628,SE8902ZMRY06748088512775
Anette Petersson,"Kyrkovägen 72, 51671 Örnsköldsvik",0705-261 43,780619-1628,SE8902DVQS82119924518238
Anette Petersson,"Kyrkovägen 72, 51671 Örnsköldsvik",0705-261 43,780619-1628,SE8902BYDD28842601202864
Anette Petersson,"Kyrkovägen 72, 51671 Örnsköldsvik",0705-261 43,780619-1628,SE8902GIHV74884246842599
Eva Klasson,"Industrivägen 1, 49486 Örebro",036-082 07 85,690918-3318,SE8902OULQ88924571915281
Jenny Nyman,"Kvarngatan 0, 45248 Skellefteå",0315-970 14,920210-4320,SE8902UBER10237927754278
Jenny Nyman,"Kvarngatan 0, 45248 Skellefteå",0315-970 14,920210-4320,SE8902KNYL13525753615170
Ella Johnsson,"Villavägen 276, 23417 Halmstad",0742-096 66,661223-2626,SE8902GFDI02146082509603
Mariann Söderlund,"Björkgränd 761, 93426 Stockholm",085-69 09 76,921013-4327,SE8902OTGT26923733226539
Annelie Sundström Ahmed,"Grangränd 6, 26459 Kalmar",08-40 20 98,050316-9872,SE8902LEIQ16043588196306
Maya Ek,"Ringvägen 5, 58870 Mölndal",0226-977 11,360220-5001,SE8902YHDH95624192716829
Maya Ek,"Ringvägen 5, 58870 Mölndal",0226-977 11,360220-5001,SE8902ENMF86033537014424
Ebba Forsell-Larsson,"Parkvägen 94, 21724 Varberg",089-536 09 11,921206-6980,SE8902UNVY51069080799808
Ebba Forsell-Larsson,"Parkvägen 94, 21724 Varberg",089-536 09 11,921206-6980,SE8902VXSM52634787408878
Lova Borgström-Wikström,"Backgatan 007, 77193 Trelleborg",0374-080 53,351031-1156,SE8902VANG86827956202560
Eva Ivarsson-Karlsson,"Trädgårdsvägen 4, 78377 Lidingö",08-42 05 88,421127-7167,SE8902QCOM51159179331018
Åsa Falk,"Kvarnvägen 22, 73238 Umeå",0295-274 23,041105-3135,SE8902AHHW25831609187762
Åsa Falk,"Kvarnvägen 22, 73238 Umeå",0295-274 23,041105-3135,SE8902BBBD92900838719471
Maria Rydén,"Furugatan 741, 10929 Gävle",08-51 80 74,851027-1458,SE8902DFIF62619409849709
Maria Rydén,"Furugatan 741, 10929 Gävle",08-51 80 74,851027-1458,SE8902OJZV87378441905395
Maria Rydén,"Furugatan 741, 10929 Gävle",08-51 80 74,851027-1458,SE8902IFOG47846578093385
Maria Rydén,"Furugatan 741, 10929 Gävle",08-51 80 74,851027-1458,SE8902XMPH01266253886729
Marianne Johansson-Johansson,"Storvägen 1, 98548 Örnsköldsvik",08-615 13 77,810924-6747,SE8902MISM30510735597086
Elisabet Brink,"Gengatan 8, 15699 Helsingborg",0182-37 77 84,491216-2650,SE8902LHXM42438714486224
Sandra Berg-Söderman,"Stationsgränd 47, 66960 Trollhättan",0617-448 58,860720-5146,SE8902YBPA06747616365238
Tina Hammarström,"Industrigatan 547, 48570 Sandviken",0552-76 95 10,970512-8305,SE8902RBPQ42858370864616
Anna Edström,"Skogsgatan 652, 25462 Lidingö",08-465 714 76,030720-9973,SE8902HFSR53083572903940
Ruth Omar,"Ängsvägen 02, 16410 Lidköping",08-06 48 61,540411-6336,SE8902JNFW68474844339506
Stella Andersson Hansson,"Fabriksgatan 87, 10703 Alingsås",08-100 15 66,660925-8436,SE8902YZWZ87858217066053
Eva Svensson,"Industrigatan 607, 67196 Lidköping",0359-88 42 42,040131-0016,SE8902GWOF13656646987338
Agneta Zhang,"Gengränd 5, 69690 Alingsås",08-51 24 96,010607-6805,SE8902NIIB74522467804955
Lina Larsson,"Nyvägen 80, 51784 Gävle",08-44 00 20,670428-7017,SE8902WFUC02168045258799
Jenny Petersson-Ottosson,"Kvarngatan 077, 50054 Uppsala",08-244 840 58,940921-4039,SE8902ALWE64418794375241
Jenny Petersson-Ottosson,"Kvarngatan 077, 50054 Uppsala",08-244 840 58,940921-4039,SE8902WJDM26526890895791
Jenny Petersson-Ottosson,"Kvarngatan 077, 50054 Uppsala",08-244 840 58,940921-4039,SE8902QLQD50953604363689
Kristina Carlsson,"Furuvägen 406, 10934 Kalmar",044-56 46 36,500318-9833,SE8902QSEZ62900642158291
Ing-Marie Wennberg,"Fabriksgränd 55, 45869 Sundsvall",070-40 14 87,361111-3899,SE8902SOSH76024453681329
Ing-Marie Wennberg,"Fabriksgränd 55, 45869 Sundsvall",070-40 14 87,361111-3899,SE8902RYJW27814189025495
Ing-Britt Sjölin,"Åkerstigen 2, 82587 Karlstad",08-283 45 79,700320-8738,SE8902UVRY16194000688254
Yasmin Nilsson,"Parkgatan 41, 14946 Södertälje",08-991 016 05,641015-5045,SE8902NNNR28386574821422
Yasmin Nilsson,"Parkgatan 41, 14946 Södertälje",08-991 016 05,641015-5045,SE8902UZYG74951512780315
Vera Andersson,"Skolgatan 8, 50948 Linköping",0396-64 00 72,441119-7330,SE8902FLMA18768060331290
Vera Andersson,"Skolgatan 8, 50948 Linköping",0396-64 00 72,441119-7330,SE8902ADKD16230449646773
Daniella Björk,"Fabrikstorget 9, 93573 Falun",097-81 48 60,430501-5853,SE8902WGFJ72090874836772
Yvonne Aronsson,"Parkstigen 15, 61628 Göteborg",08-294 68 79,950614-2836,SE8902GHSB29020078073922
Johanna Johansson,"Industrivägen 439, 22290 Halmstad",033-735 30 19,450220-3229,SE8902DRNW01025820075953
Felicia Jeppsson,"Idrottsgatan 28, 44636 Södertälje",08-18 75 45,810701-7363,SE8902OELG14968309944058
Felicia Jeppsson,"Idrottsgatan 28, 44636 Södertälje",08-18 75 45,810701-7363,SE8902YBIX02378701637177
Nina Hellström,"Villatorget 16, 18783 Örebro",0531-164 84,421205-9713,SE8902JIRN62314882418604
Margareta Hallberg Mohamed,"Åkerstigen 080, 61500 Kristianstad",024-733 95 07,900602-3726,SE8902JXAL47272008936438
Ingegärd Larsson,"Industrivägen 223, 50840 Lidköping",079-70 40 22,541201-9092,SE8902SPLA84551710891296
Laila Johansson,"Stationsgatan 6, 93606 Linköping",08-16 65 07,410406-3831,SE8902GJEV19959770508700
Ebba Andersson,"Storgränd 0, 40402 Karlskrona",0401-996 41,420211-2910,SE8902ZNHI21783939608864
Sandra Karlsson,"Backvägen 50, 24223 Kristianstad",0511-552 70,570529-2893,SE8902QVLD06706916367921
Tilde Nyberg Svensson,"Kyrkstigen 45, 99449 Västerås",08-82 51 76,890101-0481,SE8902AXQM18280403499014
Jeanette Pettersson,"Åkervägen 74, 54518 Karlstad",08-18 31 69,640207-1176,SE8902YXRL88472345282788
Linnéa Westerlund,"Industristigen 06, 92616 Piteå",083-998 46 74,011129-2405,SE8902BRIL75914384755151
Linnéa Westerlund,"Industristigen 06, 92616 Piteå",083-998 46 74,011129-2405,SE8902ZJEO82962448424927
Sofia Pettersson,"Fabriksgatan 3, 25720 Södertälje",08-790 75 50,480219-6958,SE8902MJIL81207705272655
Ahmed Brolin,"Industrivägen 2, 38219 Örnsköldsvik",072-16 65 95,651217-3912,SE8902NOXD78517742994470
Britt Svärd,"Strandgränd 13, 91904 Alingsås",08-449 03 45,380219-1373,SE8902NEKM17238713453074
Britt Svärd,"Strandgränd 13, 91904 Alingsås",08-449 03 45,380219-1373,SE8902GQAF56677712799125
Britt Svärd,"Strandgränd 13, 91904 Alingsås",08-449 03 45,380219-1373,SE8902GZKG54552009162805
Britt Svärd,"Strandgränd 13, 91904 Alingsås",08-449 03 45,380219-1373,SE8902ROXJ87709608865856
Viktoria Thorén Eriksson,"Gengatan 17, 80339 Falun",0170-96 53 74,990429-0559,SE8902AVGD46528407389614
Viktoria Thorén Eriksson,"Gengatan 17, 80339 Falun",0170-96 53 74,990429-0559,SE8902XFGN05965642065136
Lisbet Eriksson,"Granvägen 92, 61099 Lidingö",08-42 41 70,891030-3471,SE8902XUOQ37054183061149
Lisbet Eriksson,"Granvägen 92, 61099 Lidingö",08-42 41 70,891030-3471,SE8902QCNP19721394374879
Elin Blom,"Furuvägen 1, 71239 Karlskoga",0335-014 84,611223-8008,SE8902OILP02531246077432
Marina Hansson-Frisk,"Järnvägsgatan 359, 84129 Södertälje",08-340 012 92,420922-8909,SE8902PLOQ67311426466791
Britt-Marie Lundström,"Villagatan 8, 61108 Gävle",08-361 536 32,380131-5510,SE8902XSYV69131047178016
Hanna Alfredsson,"Bäckgränd 97, 77756 Helsingborg",0474-00 50 45,351123-4134,SE8902HODK85678819977506
Lovisa Persson Gunnarsson,"Skolgatan 37, 35950 Örebro",008-656 64 24,440107-5637,SE8902YIGY15689375176219
Lovisa Axelsson,"Järnvägstorget 48, 46893 Västerås",08-84 06 72,810311-0196,SE8902OWWY66208651137307
Lovisa Axelsson,"Järnvägstorget 48, 46893 Västerås",08-84 06 72,810311-0196,SE8902DGBN51946839388357
Anita Eriksson,"Industristigen 07, 36634 Lund",08-76 92 14,870206-1931,SE8902FKHS98022985303829
Anita Eriksson,"Industristigen 07, 36634 Lund",08-76 92 14,870206-1931,SE8902TMHA72646385787943
Anita Eriksson,"Industristigen 07, 36634 Lund",08-76 92 14,870206-1931,SE8902EUXF81891691396825
Britta Larsson,"Björkstigen 0, 33321 Sandviken",08-427 37 25,740618-8388,SE8902VLZY43895735167710
Britta Larsson,"Björkstigen 0, 33321 Sandviken",08-427 37 25,740618-8388,SE8902JTWL04765331104215
Johanna Friberg,"Skogsstigen 5, 81766 Ängelholm",08-875 07 77,440202-6167,SE8902SHGS62187533607069
Johanna Friberg,"Skogsstigen 5, 81766 Ängelholm",08-875 07 77,440202-6167,SE8902DHTY58610419863874
Karin Brolin,"Furugatan 939, 66421 Östersund",08-711 64 64,680714-5492,SE8902PTAF77843993668616
Karin Brolin,"Furugatan 939, 66421 Östersund",08-711 64 64,680714-5492,SE8902EHTU59069815598850
Michelle Hedberg,"Kyrkstigen 98, 50857 Uppsala",08-013 011 38,790311-4127,SE8902YMWM67923221263529
Michelle Hedberg,"Kyrkstigen 98, 50857 Uppsala",08-013 011 38,790311-4127,SE8902ZJBK03539793529686
Eva Lindberg,"Kyrkostigen 5, 24874 Lund",0614-333 18,661202-4429,SE8902YYDM63526347491057
